0.39 0.61
1.13 1.42
1.28 1.49
0.81 1.26
1.56 1.88
1.68 1.85
0.48 0.93
-0.40 -0.31
0.06 0.11
0.47 0.53
-0.16 0.28
-0.16 -0.01
0.44 0.94
1.86 2.13
1.45 1.51
1.20 1.53
1.24 1.45
1.32 1.81
0.41 0.82
-0.80 -0.42
-0.60 -0.24
-0.55 -0.46
-0.75 -0.47
-1.18 -1.03
-0.21 0.19
0.91 1.02
0.38 0.55
0.24 0.49
0.41 0.45
0.98 1.42
-0.19 0.13
-0.98 -0.60
-0.74 -0.65
-0.37 -0.27
-0.66 -0.39
-0.90 -0.70
0.35 0.80
1.57 1.58
1.48 1.90
1.03 1.36
1.61 2.00
1.61 1.80
0.71 0.79
-0.17 0.22
-0.09 0.24
0.48 0.98
-0.27 -0.08
-0.25 0.11
0.91 1.21
1.70 2.05
1.63 1.93
1.21 1.42
1.20 1.24
1.47 1.90
0.31 0.34
-1.00 -0.94
-0.62 -0.47
-0.74 -0.72
-1.11 -0.73
-0.95 -0.50
-0.13 0.30
0.67 1.01
0.61 0.61
0.15 0.39
0.79 0.85
0.67 0.82
-0.31 -0.09
-0.97 -0.76
-0.72 -0.22
-0.54 -0.37
-0.57 -0.14
-0.88 -0.65
0.48 0.67
1.41 1.60
1.40 1.71
0.93 0.95
1.41 1.52
1.73 2.18
0.90 1.36
-0.03 0.13
-0.25 0.14
0.37 0.75
0.12 0.35
-0.23 0.22
0.56 0.99
1.75 1.87
1.47 1.59
0.94 1.16
1.26 1.37
1.11 1.51
0.23 0.56
-0.89 -0.69
-0.57 -0.18
-0.41 -0.14
-1.04 -0.77
-1.33 -0.98
-0.24 0.06
0.65 1.08
0.59 1.05
0.21 0.66
